"start","end","mask","rate","uncert","process_desc","mask_desc","notes"
0b000100,0b000000,0b010111,cl0_-00,2,"External Chloride Leave","No central,no internal","from Sangyun's BD calcs"
0b010100,0b010000,0b010111,cl1_-00,2,"External Chloride Leave","No central,no internal","from Sangyun's BD calcs"
0b000000,0b000001,0b010111,cl0_00+,2,"Internal Chloride Attach","No external,no central","from Sangyun's BD calcs"
0b010000,0b010001,0b010111,cl1_00+,2,"Internal Chloride Attach","No external,no central","from Sangyun's BD calcs"
0b000000,0b000100,0b010111,cl0_+00,2,"External Chloride Attach","No central,no internal","from Sangyun's BD calcs"
0b010000,0b010100,0b010111,cl1_+00,2,"External Chloride Attach","No central,no internal","from Sangyun's BD calcs"
0b000001,0b000000,0b010111,cl0_00-,2,"Internal Chloride Leave","No external,no central","from Sangyun's BD calcs"
0b010001,0b010000,0b010111,cl1_00-,2,"Internal Chloride Leave","No external,no central","from Sangyun's BD calcs"
0b000001,0b000101,0b010111,cl0_+01,2,"External Chloride Attach","No central,internal","from Sangyun's BD calcs"
0b010001,0b010101,0b010111,cl1_+01,2,"External Chloride Attach","No central,internal","from Sangyun's BD calcs"
0b000100,0b000101,0b010111,cl0_10+,2,"Internal Chloride Attach","external,no central","from Sangyun's BD calcs"
0b010100,0b010101,0b010111,cl1_10+,2,"Internal Chloride Attach","external,no central","from Sangyun's BD calcs"
0b000101,0b000001,0b010111,cl0_-01,2,"External Chloride Leave","No central,internal","from Sangyun's BD calcs"
0b010101,0b010001,0b010111,cl1_-01,2,"External Chloride Leave","No central,internal","from Sangyun's BD calcs"
0b000101,0b000100,0b010111,cl0_10-,2,"Internal Chloride Leave","external,no central","from Sangyun's BD calcs"
0b010101,0b010100,0b010111,cl1_10-,2,"Internal Chloride Leave","external,no central","from Sangyun's BD calcs"
0b100010,0b100011,0b110111,cl0_01+,2,"Internal Chloride Attach","No external,central","from Sangyun's BD calcs"
0b110010,0b110011,0b110111,cl1_01+,2,"Internal Chloride Attach","No external,central","from Sangyun's BD calcs"
0b100010,0b100110,0b110111,cl0_+10,2,"External Chloride Attach","central,no internal","from Sangyun's BD calcs"
0b110010,0b110110,0b110111,cl1_+10,2,"External Chloride Attach","central,no internal","from Sangyun's BD calcs"
0b100110,0b100010,0b110111,cl0_-10,2,"External Chloride Leave","central,no internal","from Sangyun's BD calcs"
0b110110,0b110010,0b110111,cl1_-10,2,"External Chloride Leave","central,no internal","from Sangyun's BD calcs"
0b100011,0b100010,0b110111,cl0_01-,2,"Internal Chloride Leave","No external,central","from Sangyun's BD calcs"
0b110011,0b110010,0b110111,cl1_01-,2,"Internal Chloride Leave","No external,central","from Sangyun's BD calcs"
0b100011,0b100111,0b110111,cl0_+11,2,"External Chloride Attach","central,internal","from Sangyun's BD calcs"
0b110011,0b110111,0b110111,cl1_+11,2,"External Chloride Attach","central,internal","from Sangyun's BD calcs"
0b100111,0b100011,0b110111,cl0_-11,2,"External Chloride Leave","central,internal","from Sangyun's BD calcs"
0b110111,0b110011,0b110111,cl1_-11,2,"External Chloride Leave","central,internal","from Sangyun's BD calcs"
0b100110,0b100111,0b110111,cl0_11+,2,"Internal Chloride Attach","external,central","from Sangyun's BD calcs"
0b110110,0b110111,0b110111,cl1_11+,2,"Internal Chloride Attach","external,central","from Sangyun's BD calcs"
0b100111,0b100110,0b110111,cl0_11-,2,"Internal Chloride Leave","external,central","from Sangyun's BD calcs"
0b110111,0b110110,0b110111,cl1_11-,2,"Internal Chloride Leave","external,central","from Sangyun's BD calcs"
0b000001,0b100010,0b110111,cl0_0+-,2,"Internal to Central","No external,E148d","from Sangyun's 2D PMF for Cl"
